time_s,type,name,hold_ms,gap_ms
146.24,MOUSE,left,1,50
146.29,MOUSE,left,1,49
146.403,MOUSE,left,1,112
146.454,MOUSE,left,1,50
146.504,MOUSE,left,1,49
146.799,KEY,1,122,295
147.306,MOUSE,right,115,384
147.715,KEY,1,80,295
147.901,KEY,1,104,106
149.026,MOUSE,right,155,1020
149.329,KEY,1,124,149
149.67,KEY,1,61,217
149.935,KEY,1,76,204
150.136,KEY,1,106,125
150.63,KEY,1,144,388
151.096,MOUSE,left,85,321
151.377,KEY,vk0x5b,25,196
151.378,KEY,2,24,0
151.673,MOUSE,right,71,271
151.809,MOUSE,right,55,65
151.915,MOUSE,right,52,51
152.02,KEY,1,80,53
152.152,KEY,vk0x5b,25,52
152.153,KEY,1,25,0
152.762,MOUSE,left,1,584
152.812,MOUSE,left,1,49
152.863,MOUSE,left,1,50
153.106,MOUSE,left,1,242
153.156,MOUSE,left,1,49
153.714,KEY,1,123,558
153.949,KEY,1,177,112
155.076,MOUSE,left,70,950
155.413,KEY,vk0x5b,25,267
155.414,KEY,2,25,0
155.689,MOUSE,right,57,250
155.82,MOUSE,right,42,73
155.907,KEY,1,103,46
156.061,KEY,vk0x5b,25,51
156.062,KEY,1,25,0
156.473,MOUSE,left,1,386
156.524,MOUSE,left,1,50
156.574,MOUSE,left,1,49
156.87,MOUSE,left,1,295
156.921,MOUSE,left,1,50
156.971,MOUSE,left,1,49
157.022,MOUSE,left,1,50
157.141,KEY,1,132,118
157.526,MOUSE,right,167,253
158.604,MOUSE,left,1,911
158.655,MOUSE,left,1,50
158.705,MOUSE,left,1,49
158.918,KEY,vk0x5b,25,212
158.919,KEY,2,24,0
159.097,KEY,f1,52,153
159.173,MOUSE,right,74,24
159.29,MOUSE,right,80,43
159.385,KEY,1,81,15
159.584,KEY,vk0x5b,25,118
159.585,KEY,1,25,0
160.911,MOUSE,right,176,1301
161.492,KEY,1,65,405
161.87,MOUSE,left,72,313
162.215,KEY,vk0x5b,25,273
162.216,KEY,2,24,0
162.53,MOUSE,right,39,290
162.642,MOUSE,right,67,73
162.772,KEY,1,107,63
162.931,KEY,vk0x5b,25,52
162.932,KEY,1,25,0
163.047,KEY,1,128,90
163.262,KEY,1,161,87
163.825,MOUSE,left,1,402
163.876,MOUSE,left,1,50
163.926,MOUSE,left,1,49
164.569,MOUSE,left,1,642
164.62,MOUSE,left,1,50
164.785,MOUSE,right,190,164
165.082,KEY,1,156,107
165.324,MOUSE,right,221,86
165.777,KEY,1,117,232
165.867,MOUSE,right,181,0
166.674,MOUSE,left,1,626
166.725,MOUSE,left,1,50
166.775,MOUSE,left,1,49
166.826,MOUSE,left,1,50
166.876,MOUSE,left,1,49
166.926,MOUSE,left,1,49
167.12,KEY,vk0x5b,25,193
167.121,KEY,2,24,0
167.458,MOUSE,right,55,312
167.568,MOUSE,right,70,55
167.699,KEY,1,71,61
167.822,KEY,1,6,52
167.821,KEY,vk0x5b,25,0
167.942,KEY,1,166,96
168.221,KEY,1,140,113
168.641,MOUSE,left,1,280
168.691,MOUSE,left,1,49
168.742,MOUSE,left,1,50
169.057,MOUSE,left,1,314
169.107,MOUSE,left,1,49
169.157,MOUSE,left,1,49
169.363,KEY,1,141,205
169.966,MOUSE,right,268,462
170.714,KEY,lshift,171,480
170.764,MOUSE,right,149,0
170.968,KEY,lshift,165,55
171.777,MOUSE,right,200,644
173.525,KEY,1,109,1548
173.502,MOUSE,right,156,0
173.876,KEY,r,96,218
174.306,KEY,vk0x5b,25,334
174.307,KEY,2,25,0
174.608,MOUSE,right,78,276
174.731,KEY,1,76,45
174.748,MOUSE,right,66,0
174.889,MOUSE,right,45,75
174.932,KEY,1,147,0
175.15,KEY,vk0x5b,25,71
175.151,KEY,1,25,0
175.2,KEY,1,123,24
175.623,KEY,vk0x5b,259,300
176.128,KEY,vk0x5b,81,246
176.33,MOUSE,right,204,121
176.796,MOUSE,right,225,262
177.788,KEY,r,59,767
178.217,KEY,vk0x5b,25,370
178.218,KEY,2,24,0
178.541,MOUSE,right,68,299
178.675,MOUSE,right,53,66
178.771,KEY,1,81,43
178.904,KEY,vk0x5b,25,52
178.905,KEY,1,25,0
179.373,MOUSE,right,143,443
179.526,KEY,r,93,10
179.75,KEY,1,204,131
180.288,KEY,vk0x5b,25,334
180.289,KEY,2,24,0
180.591,MOUSE,right,68,278
180.735,MOUSE,right,54,76
180.837,KEY,1,112,48
181.001,KEY,vk0x5b,25,52
181.002,KEY,1,25,0
182.118,KEY,vk0x5b,207,1091
182.158,KEY,2,169,0
183.334,KEY,vk0x5b,246,1007
183.6,KEY,vk0x5b,54,20
183.849,KEY,vk0x5b,58,195
184.238,MOUSE,right,105,331
184.418,KEY,1,75,75
184.605,KEY,1,105,112
184.964,KEY,vk0x5b,106,254
185.009,KEY,1,139,0
185.411,KEY,r,96,263
185.617,KEY,1,191,110
186.035,KEY,vk0x5b,25,227
186.036,KEY,2,24,0
186.383,MOUSE,right,57,323
186.485,MOUSE,right,67,45
186.604,MOUSE,right,51,52
186.704,KEY,1,111,49
186.866,KEY,vk0x5b,25,51
186.867,KEY,1,24,0
187.387,KEY,1,131,496
187.724,KEY,1,150,206
188.748,KEY,r,134,874
189.16,KEY,vk0x5b,25,278
189.161,KEY,2,25,0
189.492,MOUSE,right,79,306
189.638,MOUSE,right,49,67
189.734,MOUSE,right,48,47
189.856,KEY,1,115,74
190.022,KEY,vk0x5b,25,51
190.023,KEY,1,24,0
190.605,KEY,1,119,558
190.816,KEY,1,183,92
192.409,KEY,r,71,1410
192.61,KEY,1,130,130
192.86,KEY,vk0x5b,25,120
192.861,KEY,2,24,0
193.189,MOUSE,right,44,303
193.312,MOUSE,right,77,79
193.455,MOUSE,right,44,66
193.547,KEY,1,94,48
193.693,KEY,vk0x5b,25,52
193.694,KEY,1,25,0
194.003,KEY,1,68,285
194.234,KEY,1,131,163
194.739,KEY,1,139,374
195.446,MOUSE,left,1,568
195.496,MOUSE,left,1,49
195.546,MOUSE,left,1,49
195.597,MOUSE,left,1,50
195.647,MOUSE,left,1,49
195.698,MOUSE,left,1,50
195.748,MOUSE,left,1,49
195.799,MOUSE,left,1,50
195.849,MOUSE,left,1,49
195.899,MOUSE,left,1,49
195.95,MOUSE,left,1,50
196.0,MOUSE,left,1,49
196.051,MOUSE,left,1,50
196.101,MOUSE,left,1,49
196.152,MOUSE,left,1,50
196.333,KEY,tab,62,180
197.641,MOUSE,left,59,1246
198.365,KEY,f4,101,665
198.582,KEY,tab,112,116
199.389,MOUSE,left,43,695
196.236,KEY,lalt,3332,0
201.594,MOUSE,left,107,2026
203.012,MOUSE,left,63,1311
204.05,MOUSE,left,61,975
207.442,MOUSE,left,200,3332
207.706,MOUSE,left,66,64
208.508,KEY,3,64,735
208.652,MOUSE,left,59,81
208.761,MOUSE,left,60,50
208.947,KEY,4,61,125
209.188,MOUSE,left,60,181
209.351,KEY,lctrl,302,102
209.573,KEY,s,97,0
209.805,MOUSE,left,58,136
210.681,MOUSE,left,56,818
211.563,MOUSE,left,64,826
212.436,KEY,tab,91,808
213.046,MOUSE,left,58,519
212.392,KEY,lalt,841,0
213.52,MOUSE,left,1,287
213.571,MOUSE,left,1,50
